"heuristic","graph","size","runtime","memusg"
"BURER2002","complete.txt",10,0.009283,1720
"FESTA2002G","complete.txt",10,0.009283,1648
"FESTA2002GPR","complete.txt",10,0.009283,1660
"FESTA2002VNS","complete.txt",10,0.009283,1648
"FESTA2002VNSPR","complete.txt",10,0.009283,1660
"FESTA2002GVNS","complete.txt",10,0.009283,1656
"FESTA2002GVNSPR","complete.txt",10,0.009283,1664
"DUARTE2005","complete.txt",10,0.009283,1668
"PALUBECKIS2004bMST1","complete.txt",10,0.009283,1644
"PALUBECKIS2004bMST2","complete.txt",10,0.009283,1648
"PALUBECKIS2004bMST3","complete.txt",10,0.009283,1652
"PALUBECKIS2004bMST4","complete.txt",10,0.009283,1660
"PALUBECKIS2004bMST5","complete.txt",10,0.009283,1656
"PALUBECKIS2004bSTS","complete.txt",10,0.009283,1648
"MERZ1999GLS","complete.txt",10,0.009283,1684
"MERZ1999MUTATE","complete.txt",10,0.009283,1732
"MERZ1999CROSS","complete.txt",10,0.009283,1732
"PALUBECKIS2006","complete.txt",10,0.009283,1648
"KATAYAMA2001","complete.txt",10,0.009283,1676
"LU2010","complete.txt",10,0.009283,1668
"PARDALOS2008","complete.txt",10,0.009283,1716
"GLOVER2010","complete.txt",10,0.009283,1740
"LAGUNA2009CE","complete.txt",10,0.009283,1644
"LAGUNA2009HCE","complete.txt",10,0.009283,1640
"BEASLEY1998SA","complete.txt",10,0.009283,1676
"BEASLEY1998TS","complete.txt",10,0.009283,1640
"MERZ2002GREEDY","complete.txt",10,0.009283,1648
"MERZ2002ONEOPT","complete.txt",10,0.009283,1644
"MERZ2002KOPT","complete.txt",10,0.009283,1644
"MERZ2002GREEDYKOPT","complete.txt",10,0.009283,1652
"KATAYAMA2000","complete.txt",10,0.009283,1664
"MERZ2004","complete.txt",10,0.009283,1672
"ALKHAMIS1998","complete.txt",10,0.009283,1728
"HASAN2000GA","complete.txt",10,0.009283,1672
"HASAN2000TS","complete.txt",10,0.009283,1640
"LODI1999","complete.txt",10,0.009283,1684
"GLOVER1998a","complete.txt",10,0.009283,1644
"BURER2002","ER.txt",10,0.000896,1716
"FESTA2002G","ER.txt",10,0.000896,1644
"FESTA2002GPR","ER.txt",10,0.000896,1656
"FESTA2002VNS","ER.txt",10,0.000896,1644
"FESTA2002VNSPR","ER.txt",10,0.000896,1660
"FESTA2002GVNS","ER.txt",10,0.000896,1648
"FESTA2002GVNSPR","ER.txt",10,0.000896,1660
"DUARTE2005","ER.txt",10,0.000896,1664
"PALUBECKIS2004bMST1","ER.txt",10,0.000896,1644
"PALUBECKIS2004bMST2","ER.txt",10,0.000896,1648
"PALUBECKIS2004bMST3","ER.txt",10,0.000896,1648
"PALUBECKIS2004bMST4","ER.txt",10,0.000896,1644
"PALUBECKIS2004bMST5","ER.txt",10,0.000896,1652
"PALUBECKIS2004bSTS","ER.txt",10,0.000896,1644
"MERZ1999GLS","ER.txt",10,0.000896,1688
"MERZ1999MUTATE","ER.txt",10,0.000896,1724
"MERZ1999CROSS","ER.txt",10,0.000896,1728
"PALUBECKIS2006","ER.txt",10,0.000896,1644
"KATAYAMA2001","ER.txt",10,0.000896,1676
"LU2010","ER.txt",10,0.000896,1664
"PARDALOS2008","ER.txt",10,0.000896,1712
"GLOVER2010","ER.txt",10,0.000896,1732
"LAGUNA2009CE","ER.txt",10,0.000896,1640
"LAGUNA2009HCE","ER.txt",10,0.000896,1636
"BEASLEY1998SA","ER.txt",10,0.000896,1672
"BEASLEY1998TS","ER.txt",10,0.000896,1636
"MERZ2002GREEDY","ER.txt",10,0.000896,1648
"MERZ2002ONEOPT","ER.txt",10,0.000896,1640
"MERZ2002KOPT","ER.txt",10,0.000896,1640
"MERZ2002GREEDYKOPT","ER.txt",10,0.000896,1648
"KATAYAMA2000","ER.txt",10,0.000896,1672
"MERZ2004","ER.txt",10,0.000896,1652
"ALKHAMIS1998","ER.txt",10,0.000896,1684
"HASAN2000GA","ER.txt",10,0.000896,1668
"HASAN2000TS","ER.txt",10,0.000896,1636
"LODI1999","ER.txt",10,0.000896,1684
"GLOVER1998a","ER.txt",10,0.000896,1640
"BURER2002","complete.txt",30,0.018111,1740
"FESTA2002G","complete.txt",30,0.018111,1684
"FESTA2002GPR","complete.txt",30,0.018111,1696
"FESTA2002VNS","complete.txt",30,0.018111,1668
"FESTA2002VNSPR","complete.txt",30,0.018111,1688
"FESTA2002GVNS","complete.txt",30,0.018111,1680
"FESTA2002GVNSPR","complete.txt",30,0.018111,1700
"DUARTE2005","complete.txt",30,0.018111,1716
"PALUBECKIS2004bMST1","complete.txt",30,0.018111,1684
"PALUBECKIS2004bMST2","complete.txt",30,0.018111,1688
"PALUBECKIS2004bMST3","complete.txt",30,0.018111,1692
"PALUBECKIS2004bMST4","complete.txt",30,0.018111,1752
"PALUBECKIS2004bMST5","complete.txt",30,0.018111,1736
"PALUBECKIS2004bSTS","complete.txt",30,0.018111,1684
"MERZ1999GLS","complete.txt",30,0.018111,1760
"MERZ1999MUTATE","complete.txt",30,0.018111,1840
"MERZ1999CROSS","complete.txt",30,0.018111,1840
"PALUBECKIS2006","complete.txt",30,0.018111,1688
"KATAYAMA2001","complete.txt",30,0.018111,1720
"LU2010","complete.txt",30,0.018111,1716
"PARDALOS2008","complete.txt",30,0.018111,1796
"GLOVER2010","complete.txt",30,0.018111,1784
"LAGUNA2009CE","complete.txt",30,0.018111,1664
"LAGUNA2009HCE","complete.txt",30,0.018111,1660
"BEASLEY1998SA","complete.txt",30,0.018111,1764
"BEASLEY1998TS","complete.txt",30,0.018111,1680
"MERZ2002GREEDY","complete.txt",30,0.018111,1688
"MERZ2002ONEOPT","complete.txt",30,0.018111,1688
"MERZ2002KOPT","complete.txt",30,0.018111,1684
"MERZ2002GREEDYKOPT","complete.txt",30,0.018111,1692
"KATAYAMA2000","complete.txt",30,0.018111,1724
"MERZ2004","complete.txt",30,0.018111,1728
"ALKHAMIS1998","complete.txt",30,0.018111,1740
"HASAN2000GA","complete.txt",30,0.018111,1744
"HASAN2000TS","complete.txt",30,0.018111,1684
"LODI1999","complete.txt",30,0.018111,1756
"GLOVER1998a","complete.txt",30,0.018111,1688
"BURER2002","ER.txt",30,0.010903,1720
"FESTA2002G","ER.txt",30,0.010903,1656
"FESTA2002GPR","ER.txt",30,0.010903,1672
"FESTA2002VNS","ER.txt",30,0.010903,1652
"FESTA2002VNSPR","ER.txt",30,0.010903,1672
"FESTA2002GVNS","ER.txt",30,0.010903,1660
"FESTA2002GVNSPR","ER.txt",30,0.010903,1676
"DUARTE2005","ER.txt",30,0.010903,1696
"PALUBECKIS2004bMST1","ER.txt",30,0.010903,1648
"PALUBECKIS2004bMST2","ER.txt",30,0.010903,1652
"PALUBECKIS2004bMST3","ER.txt",30,0.010903,1656
"PALUBECKIS2004bMST4","ER.txt",30,0.010903,1688
"PALUBECKIS2004bMST5","ER.txt",30,0.010903,1664
"PALUBECKIS2004bSTS","ER.txt",30,0.010903,1648
"MERZ1999GLS","ER.txt",30,0.010903,1724
"MERZ1999MUTATE","ER.txt",30,0.010903,1772
"MERZ1999CROSS","ER.txt",30,0.010903,1792
"PALUBECKIS2006","ER.txt",30,0.010903,1652
"KATAYAMA2001","ER.txt",30,0.010903,1724
"LU2010","ER.txt",30,0.010903,1680
"PARDALOS2008","ER.txt",30,0.010903,1756
"GLOVER2010","ER.txt",30,0.010903,1756
"LAGUNA2009CE","ER.txt",30,0.010903,1648
"LAGUNA2009HCE","ER.txt",30,0.010903,1640
"BEASLEY1998SA","ER.txt",30,0.010903,1728
"BEASLEY1998TS","ER.txt",30,0.010903,1648
"MERZ2002GREEDY","ER.txt",30,0.010903,1652
"MERZ2002ONEOPT","ER.txt",30,0.010903,1648
"MERZ2002KOPT","ER.txt",30,0.010903,1648
"MERZ2002GREEDYKOPT","ER.txt",30,0.010903,1660
"KATAYAMA2000","ER.txt",30,0.010903,1688
"MERZ2004","ER.txt",30,0.010903,1728
"ALKHAMIS1998","ER.txt",30,0.010903,1696
"HASAN2000GA","ER.txt",30,0.010903,1708
"HASAN2000TS","ER.txt",30,0.010903,1644
"LODI1999","ER.txt",30,0.010903,1724
"GLOVER1998a","ER.txt",30,0.010903,1652
"BURER2002","complete.txt",100,0.284778,1956
"FESTA2002G","complete.txt",100,0.284778,1960
"FESTA2002GPR","complete.txt",100,0.284778,1992
"FESTA2002VNS","complete.txt",100,0.284778,1884
"FESTA2002VNSPR","complete.txt",100,0.284778,1912
"FESTA2002GVNS","complete.txt",100,0.284778,1964
"FESTA2002GVNSPR","complete.txt",100,0.284778,1992
"DUARTE2005","complete.txt",100,0.284778,2060
"PALUBECKIS2004bMST1","complete.txt",100,0.284778,2148
"PALUBECKIS2004bMST2","complete.txt",100,0.284778,2152
"PALUBECKIS2004bMST3","complete.txt",100,0.284778,2160
"PALUBECKIS2004bMST4","complete.txt",100,0.284778,2308
"PALUBECKIS2004bMST5","complete.txt",100,0.284778,2560
"PALUBECKIS2004bSTS","complete.txt",100,0.284778,2148
"MERZ1999GLS","complete.txt",100,0.284778,2300
"MERZ1999MUTATE","complete.txt",100,0.284778,2508
"MERZ1999CROSS","complete.txt",100,0.284778,2508
"PALUBECKIS2006","complete.txt",100,0.284778,2152
"KATAYAMA2001","complete.txt",100,0.284778,2228
"LU2010","complete.txt",100,0.284778,2176
"PARDALOS2008","complete.txt",100,0.284778,2444
"GLOVER2010","complete.txt",100,0.284778,2248
"LAGUNA2009CE","complete.txt",100,0.284778,1880
"LAGUNA2009HCE","complete.txt",100,0.284778,1876
"BEASLEY1998SA","complete.txt",100,0.284778,2228
"BEASLEY1998TS","complete.txt",100,0.284778,2144
"MERZ2002GREEDY","complete.txt",100,0.284778,2152
"MERZ2002ONEOPT","complete.txt",100,0.284778,2152
"MERZ2002KOPT","complete.txt",100,0.284778,2156
"MERZ2002GREEDYKOPT","complete.txt",100,0.284778,2156
"KATAYAMA2000","complete.txt",100,0.284778,2224
"MERZ2004","complete.txt",100,0.284778,2356
"ALKHAMIS1998","complete.txt",100,0.284778,2240
"HASAN2000GA","complete.txt",100,0.284778,2352
"HASAN2000TS","complete.txt",100,0.284778,2144
"LODI1999","complete.txt",100,0.284778,2320
"GLOVER1998a","complete.txt",100,0.284778,2148
"BURER2002","ER.txt",100,0.034211,1748
"FESTA2002G","ER.txt",100,0.034211,1680
"FESTA2002GPR","ER.txt",100,0.034211,1740
"FESTA2002VNS","ER.txt",100,0.034211,1672
"FESTA2002VNSPR","ER.txt",100,0.034211,1684
"FESTA2002GVNS","ER.txt",100,0.034211,1684
"FESTA2002GVNSPR","ER.txt",100,0.034211,1744
"DUARTE2005","ER.txt",100,0.034211,1784
"PALUBECKIS2004bMST1","ER.txt",100,0.034211,1696
"PALUBECKIS2004bMST2","ER.txt",100,0.034211,1700
"PALUBECKIS2004bMST3","ER.txt",100,0.034211,1700
"PALUBECKIS2004bMST4","ER.txt",100,0.034211,1852
"PALUBECKIS2004bMST5","ER.txt",100,0.034211,1732
"PALUBECKIS2004bSTS","ER.txt",100,0.034211,1692
"MERZ1999GLS","ER.txt",100,0.034211,1812
"MERZ1999MUTATE","ER.txt",100,0.034211,1976
"MERZ1999CROSS","ER.txt",100,0.034211,1976
"PALUBECKIS2006","ER.txt",100,0.034211,1700
"KATAYAMA2001","ER.txt",100,0.034211,1776
"LU2010","ER.txt",100,0.034211,1748
"PARDALOS2008","ER.txt",100,0.034211,1872
"GLOVER2010","ER.txt",100,0.034211,1804
"LAGUNA2009CE","ER.txt",100,0.034211,1688
"LAGUNA2009HCE","ER.txt",100,0.034211,1668
"BEASLEY1998SA","ER.txt",100,0.034211,1720
"BEASLEY1998TS","ER.txt",100,0.034211,1688
"MERZ2002GREEDY","ER.txt",100,0.034211,1692
"MERZ2002ONEOPT","ER.txt",100,0.034211,1688
"MERZ2002KOPT","ER.txt",100,0.034211,1688
"MERZ2002GREEDYKOPT","ER.txt",100,0.034211,1700
"KATAYAMA2000","ER.txt",100,0.034211,1740
"MERZ2004","ER.txt",100,0.034211,1776
"ALKHAMIS1998","ER.txt",100,0.034211,1752
"HASAN2000GA","ER.txt",100,0.034211,1836
"HASAN2000TS","ER.txt",100,0.034211,1688
"LODI1999","ER.txt",100,0.034211,1812
"GLOVER1998a","ER.txt",100,0.034211,1696
"BURER2002","complete.txt",300,3.401549,4644
"FESTA2002G","complete.txt",300,3.401549,5436
"FESTA2002GPR","complete.txt",300,3.401549,5436
"FESTA2002VNS","complete.txt",300,3.401549,4644
"FESTA2002VNSPR","complete.txt",300,3.401549,4908
"FESTA2002GVNS","complete.txt",300,3.401549,5436
"FESTA2002GVNSPR","complete.txt",300,3.401549,5436
"DUARTE2005","complete.txt",300,3.401549,5172
"PALUBECKIS2004bMST1","complete.txt",300,3.401549,7816
"PALUBECKIS2004bMST2","complete.txt",300,3.401549,7812
"PALUBECKIS2004bMST3","complete.txt",300,3.401549,7812
"PALUBECKIS2004bMST4","complete.txt",300,3.401549,8604
"PALUBECKIS2004bMST5","complete.txt",300,3.401549,12036
"PALUBECKIS2004bSTS","complete.txt",300,3.401549,7812
"MERZ1999GLS","complete.txt",300,3.401549,8340
"MERZ1999MUTATE","complete.txt",300,3.401549,8868
"MERZ1999CROSS","complete.txt",300,3.401549,8868
"PALUBECKIS2006","complete.txt",300,3.401549,7812
"KATAYAMA2001","complete.txt",300,3.401549,7812
"LU2010","complete.txt",300,3.401549,7812
"PARDALOS2008","complete.txt",300,3.401549,9132
"GLOVER2010","complete.txt",300,3.401549,8076
"LAGUNA2009CE","complete.txt",300,3.401549,4908
"LAGUNA2009HCE","complete.txt",300,3.401549,4644
"BEASLEY1998SA","complete.txt",300,3.401549,7812
"BEASLEY1998TS","complete.txt",300,3.401549,7812
"MERZ2002GREEDY","complete.txt",300,3.401549,7812
"MERZ2002ONEOPT","complete.txt",300,3.401549,7812
"MERZ2002KOPT","complete.txt",300,3.401549,7812
"MERZ2002GREEDYKOPT","complete.txt",300,3.401549,7812
"KATAYAMA2000","complete.txt",300,3.401549,8080
"MERZ2004","complete.txt",300,3.401549,8344
"ALKHAMIS1998","complete.txt",300,3.401549,8076
"HASAN2000GA","complete.txt",300,3.401549,8340
"HASAN2000TS","complete.txt",300,3.401549,7812
"LODI1999","complete.txt",300,3.401549,8340
"GLOVER1998a","complete.txt",300,3.401549,7812
"BURER2002","ER.txt",300,0.174686,1816
"FESTA2002G","ER.txt",300,0.174686,1756
"FESTA2002GPR","ER.txt",300,0.174686,1908
"FESTA2002VNS","ER.txt",300,0.174686,1728
"FESTA2002VNSPR","ER.txt",300,0.174686,1808
